Enrollment No.,Semester Number,Subject,Marks
00235003121,2,Software Engineering,18
00235003121,5,Data Structures,16
00235003122,6,Operating Systems,12
00235003122,2,Data Structures,18
00235003122,1,Web Development,21
00235003123,3,DBMS,13
00235003123,1,DBMS,23
00235003124,2,Web Development,17
00235003124,5,Computer Networks,14
00235003125,2,Computer Networks,23
00235003125,1,Mathematics,17
00235003125,4,Computer Networks,20
00235003126,3,Data Structures,19
00235003126,4,Software Engineering,12
00235003127,5,DBMS,17
00235003127,2,Computer Networks,24
00235003127,1,Data Structures,15
00235003128,1,Mathematics,15
00235003128,1,Web Development,17
00235003129,2,DBMS,25
00235003129,1,AI Basics,15
00235003129,3,Operating Systems,18
00235003130,3,Data Structures,21
00235003130,3,Data Structures,20
00235003130,6,Mathematics,14
00235003131,5,Mathematics,18
00235003131,1,Web Development,25
00235003132,3,Software Engineering,13
00235003132,5,Web Development,12
00235003132,3,Operating Systems,16
00235003133,6,Operating Systems,19
00235003133,3,Web Development,24
00235003133,2,Operating Systems,14
00235003134,4,Mathematics,15
00235003134,5,Software Engineering,22
00235003135,3,Mathematics,24
00235003135,6,AI Basics,25
00235003136,1,Operating Systems,20
00235003136,2,AI Basics,19
00235003136,1,DBMS,23
00235003137,1,Mathematics,15
00235003137,5,AI Basics,23
00235003137,3,Web Development,23
00235003138,5,Data Structures,20
00235003138,2,AI Basics,13
00235003139,4,DBMS,15
00235003139,3,Computer Networks,25
00235003140,4,Software Engineering,17
00235003140,4,Computer Networks,15
00235003140,1,Operating Systems,14
00235003141,2,Data Structures,14
00235003141,4,Web Development,17
00235003142,1,Software Engineering,24
00235003142,2,Web Development,16
00235003142,4,Computer Networks,25
00235003143,1,DBMS,24
00235003143,6,Computer Networks,25
00235003144,2,Software Engineering,14
00235003144,1,Operating Systems,17
00235003145,5,Mathematics,22
00235003145,3,Computer Networks,25
00235003145,2,Mathematics,18
00235003146,5,Operating Systems,13
00235003146,4,Data Structures,24
00235003146,2,Data Structures,12
00235003147,2,DBMS,15
00235003147,4,Software Engineering,22
00235003148,5,Computer Networks,25
00235003148,1,Mathematics,13
00235003149,6,Web Development,24
00235003149,2,Data Structures,25
00235003150,1,Mathematics,19
00235003150,1,DBMS,21
00235003150,4,AI Basics,19
00235003151,4,AI Basics,14
00235003151,3,Operating Systems,14
00235003152,3,Web Development,14
00235003152,1,Operating Systems,22
00235003152,3,Web Development,18
00235003153,1,Data Structures,16
00235003153,4,DBMS,18
00235003153,2,Operating Systems,22
00235003154,4,Software Engineering,19
00235003154,5,Web Development,17
00235003155,4,Computer Networks,14
00235003155,1,Software Engineering,21
00235003155,2,Mathematics,24
00235003156,1,Web Development,20
00235003156,3,Operating Systems,14
00235003156,1,Operating Systems,22
00235003157,3,Mathematics,24
00235003157,2,AI Basics,17
00235003158,2,Operating Systems,21
00235003158,3,Software Engineering,21
00235003159,6,Software Engineering,21
00235003159,5,DBMS,21
00235003160,4,Computer Networks,14
00235003160,4,Mathematics,13
00235003161,2,Operating Systems,12
00235003161,5,Web Development,12
00235003162,5,Operating Systems,24
00235003162,2,Software Engineering,23
00235003162,2,Software Engineering,12
00235003163,2,DBMS,24
00235003163,1,Software Engineering,13
00235003164,6,AI Basics,21
00235003164,1,Software Engineering,16
00235003164,3,DBMS,14
00235003165,6,Web Development,22
00235003165,3,DBMS,23
00235003165,5,Software Engineering,15
00235003166,4,Computer Networks,23
00235003166,6,Computer Networks,14
00235003167,6,Mathematics,23
00235003167,5,AI Basics,25
00235003168,2,Software Engineering,24
00235003168,5,Operating Systems,22
00235003169,4,DBMS,17
00235003169,6,Data Structures,15
00235003170,3,DBMS,22
00235003170,1,Software Engineering,19
00235003170,1,Computer Networks,15
