Company Name,Target Course,Job Role,Package (LPA),Recruitment Status,Official Email
TCS,MCA,System Engineer,3.36,Upcoming,hr@tcs.com
Infosys,BCA,Software Engineer,3.6,Ongoing,careers@infosys.com
Wipro,MCA,Project Engineer,3.5,Completed,hr@wipro.com
Accenture,MCA,Associate Software Engineer,4.5,Upcoming,careers@accenture.com
HCL,BCA,Graduate Engineer Trainee,3.25,Ongoing,hr@hcl.com
Deloitte,MCA,Analyst,6.0,Upcoming,recruitment@deloitte.com
Capgemini,BCA,Software Engineer,4.25,Completed,hr@capgemini.com
Tech Mahindra,MCA,Associate Engineer,3.2,Ongoing,careers@techmahindra.com
Cognizant,BCA,Programmer Analyst,4.0,Upcoming,hr@cognizant.com
Genpact,BBA,Business Analyst,3.8,Ongoing,hr@genpact.com
EY,BBA,Consultant,5.5,Upcoming,careers@ey.com
KPMG,BBA,Audit Analyst,5.2,Completed,hr@kpmg.com
Amazon,MCA,SDE Intern,8.0,Upcoming,jobs@amazon.com
Flipkart,BCA,Software Developer,6.5,Ongoing,careers@flipkart.com
Zomato,BBA,Operations Executive,4.2,Completed,hr@zomato.com
Paytm,MCA,Backend Developer,7.0,Upcoming,jobs@paytm.com
Byju's,BBA,Business Development Associate,5.0,Ongoing,careers@byjus.com
Swiggy,BBA,Operations Analyst,4.0,Completed,hr@swiggy.com
IBM,MCA,Application Developer,6.2,Upcoming,careers@ibm.com
Oracle,MCA,Software Developer,7.5,Ongoing,jobs@oracle.com
Adobe,MCA,SDE,9.0,Upcoming,careers@adobe.com
Microsoft,MCA,Software Engineer,12.0,Upcoming,jobs@microsoft.com
Google,MCA,Associate Engineer,15.0,Upcoming,careers@google.com
Infosys BPM,BBA,Process Executive,3.0,Completed,hr@infosysbpm.com
WNS,BBA,Operations Executive,3.2,Ongoing,careers@wns.com
