Company Name,Target Course,Job Role,Package (LPA),Recruitment Status,Official Email
TCS,MCA,Software Engineer,6.5,Upcoming,hr@tcs.com
Infosys,BCA,Systems Engineer,5.0,Upcoming,campus@infosys.com
Wipro,MCA,Associate Analyst,6.0,Ongoing,recruitment@wipro.com
HCL Technologies,BBA,Business Analyst,4.5,Upcoming,talent@hcl.com
Tech Mahindra,MCA,Junior Developer,5.5,Upcoming,careers@techmahindra.com
Accenture,BCA,Software Engineer,7.0,Ongoing,campus@accenture.com
Cognizant,MCA,Programmer Analyst,5.0,Upcoming,hiring@cognizant.com
IBM,BBA,Business Consultant,8.0,Upcoming,ibm.campus@in.ibm.com
Capgemini,MCA,Associate Consultant,6.5,Completed,campus@capgemini.com
Mphasis,BCA,Software Associate,5.5,Upcoming,talent@mphasis.com
